group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,2,-2.8668,0.5343,-9.2322,3.4986,FALSE,Small (-0.24),24.1277,6.3267,0.9228
,,,,,,,,,,
1,3,-1.6991,0.7912,-8.2159,4.8177,FALSE,Very Small (-0.14),21.2609,15.3933,2.2696
,,,,,,,,,,
2,3,1.1677,0.9,-5.3824,7.7178,FALSE,Very Small (0.08),22.4286,15.318,2.3636
,,,,,,,,,,
c_All_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.2068,0.552,-0.266,0.6795,FALSE,Very Small (0.2),0.5106,0.7481,0.1091
,,,,,,,,,,
1,3,-0.2011,0.5815,-0.6851,0.2829,FALSE,Small (-0.26),0.7174,1.259,0.1856
,,,,,,,,,,
2,3,-0.4079,0.1194,-0.8944,0.0786,FALSE,Small (-0.39),0.3095,0.7805,0.1204
,,,,,,,,,,
c_Title_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.123,0.7308,-0.526,0.2799,FALSE,Very Small (-0.18),0.3404,0.6351,0.0926
,,,,,,,,,,
1,3,0.0881,0.8549,-0.3244,0.5007,FALSE,Very Small (0.1),0.2174,0.6964,0.1027
,,,,,,,,,,
2,3,0.2112,0.4528,-0.2035,0.6258,FALSE,Small (0.23),0.4286,1.0852,0.1675
,,,,,,,,,,
c_Image_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.1864,0.2991,-0.4828,0.11,FALSE,Small (-0.29),0.4255,0.6509,0.0949
,,,,,,,,,,
1,3,-0.1636,0.4116,-0.4671,0.1398,FALSE,Small (-0.28),0.2391,0.6389,0.0942
,,,,,,,,,,
2,3,0.0228,0.9,-0.2823,0.3278,FALSE,Very Small (0.04),0.2619,0.4968,0.0767
,,,,,,,,,,
c_Plot_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.0569,0.9,-0.4085,0.2947,FALSE,Very Small (-0.09),0.383,0.6098,0.089
,,,,,,,,,,
1,3,0.0456,0.9,-0.3144,0.4056,FALSE,Very Small (0.06),0.3261,0.6685,0.0986
,,,,,,,,,,
2,3,0.1025,0.7607,-0.2593,0.4643,FALSE,Very Small (0.13),0.4286,0.8595,0.1326
,,,,,,,,,,
c_Genre_Picked,-,-,-,-,-,-,-,-,-,-
