group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
c_Title_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.1,0.8182,-0.5149,0.3149,FALSE,Very Small (-0.15),0.34,0.6263,0.0886
,,,,,,,,,,
1,3,0.16,0.6225,-0.2549,0.5749,FALSE,Very Small (0.17),0.24,0.716,0.1013
,,,,,,,,,,
2,3,0.26,0.3022,-0.1549,0.6749,FALSE,Small (0.27),0.5,1.1824,0.1672
,,,,,,,,,,
c_Image_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.16,0.5028,-0.4975,0.1775,FALSE,Small (-0.25),0.42,0.6417,0.0908
,,,,,,,,,,
1,3,-0.1,0.7434,-0.4375,0.2375,FALSE,Very Small (-0.14),0.26,0.6642,0.0939
,,,,,,,,,,
2,3,0.06,0.9,-0.2775,0.3975,FALSE,Very Small (0.08),0.32,0.8192,0.1158
,,,,,,,,,,
c_Plot_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.1,0.7812,-0.4726,0.2726,FALSE,Very Small (-0.16),0.4,0.6389,0.0904
,,,,,,,,,,
1,3,0.1,0.7812,-0.2726,0.4726,FALSE,Very Small (0.12),0.3,0.6468,0.0915
,,,,,,,,,,
2,3,0.2,0.4155,-0.1726,0.5726,FALSE,Small (0.23),0.5,1.0152,0.1436
,,,,,,,,,,
c_Genre_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.12,0.6895,-0.477,0.237,FALSE,Very Small (-0.17),0.42,0.5746,0.0813
,,,,,,,,,,
1,3,-0.1,0.7653,-0.457,0.257,FALSE,Very Small (-0.14),0.3,0.8391,0.1187
,,,,,,,,,,
2,3,0.02,0.9,-0.337,0.377,FALSE,Very Small (0.02),0.32,0.8192,0.1158
,,,,,,,,,,
c_Stars_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.18,0.2996,-0.1062,0.4662,FALSE,Small (0.27),0.22,0.4647,0.0657
,,,,,,,,,,
1,3,0.02,0.9,-0.2662,0.3062,FALSE,Very Small (0.04),0.4,0.8081,0.1143
,,,,,,,,,,
2,3,-0.16,0.3857,-0.4462,0.1262,FALSE,Small (-0.24),0.24,0.4764,0.0674
,,,,,,,,,,
c_Director_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.1,0.868,-0.5898,0.3898,FALSE,Very Small (-0.11),0.6,0.6701,0.0948
,,,,,,,,,,
1,3,0.24,0.4804,-0.2498,0.7298,FALSE,Small (0.23),0.5,1.0546,0.1491
,,,,,,,,,,
2,3,0.34,0.2309,-0.1498,0.8298,FALSE,Small (0.29),0.84,1.2835,0.1815
,,,,,,,,,,
c_Date_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.06,0.8816,-0.369,0.249,FALSE,Very Small (-0.09),0.32,0.4712,0.0666
,,,,,,,,,,
1,3,-0.04,0.9,-0.349,0.269,FALSE,Very Small (-0.08),0.26,0.8526,0.1206
,,,,,,,,,,
2,3,0.02,0.9,-0.289,0.329,FALSE,Very Small (0.03),0.28,0.5729,0.081
,,,,,,,,,,
c_Tag_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.06,0.9,-0.6307,0.5107,FALSE,Very Small (-0.06),0.82,0.6606,0.0934
,,,,,,,,,,
1,3,0.2,0.6701,-0.3707,0.7707,FALSE,Very Small (0.17),0.76,1.2707,0.1797
,,,,,,,,,,
2,3,0.26,0.5278,-0.3107,0.8307,FALSE,Very Small (0.19),1.02,1.5185,0.2147
,,,,,,,,,,
c_SVD_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.26,0.4858,-0.2748,0.7948,FALSE,Small (0.22),0.62,0.9452,0.1337
,,,,,,,,,,
1,3,-0.16,0.7395,-0.6948,0.3748,FALSE,Very Small (-0.16),0.88,1.3797,0.1951
,,,,,,,,,,
2,3,-0.42,0.1544,-0.9548,0.1148,FALSE,Small (-0.35),0.46,1.0144,0.1435
,,,,,,,,,,
c_Baseline_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.06,0.8919,-0.2616,0.3816,FALSE,Very Small (0.09),0.32,0.5511,0.0779
,,,,,,,,,,
1,3,-0.08,0.8077,-0.4016,0.2416,FALSE,Very Small (-0.13),0.38,0.7796,0.1103
,,,,,,,,,,
2,3,-0.14,0.5552,-0.4616,0.1816,FALSE,Very Small (-0.19),0.24,0.6869,0.0971
